Index,Channel,City_Town,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
225,Retail,Dammam,"$7,823.00 ",625,"$6,544.00 ","$4,154.00 ",4074,964
226,Hotels,Khobar,"$11,314.00 ",309,"$2,062.00 ","$35,009.00 ",71,2698
227,Hotels,Hail,"$20,893.00 ",122,"$2,576.00 ","$3,975.00 ",737,3628
228,Hotels,Khobar,"$5,509.00 ",146,"$2,251.00 ",$547.00 ,187,409
229,Hotels,Dhahran,"$5,387.00 ",498,"$3,343.00 ",$825.00 ,637,929
230,Retail,Qaseem,"$5,550.00 ",1273,"$16,767.00 ",$864.00 ,12420,797
231,Hotels,Dhahran,"$20,398.00 ",114,$3.00 ,"$4,407.00 ",3,975
232,Hotels,Hail,$514.00 ,832,"$6,869.00 ",$529.00 ,93,1040
233,,,"$1,206.00 ",362,"$2,857.00 ","$1,945.00 ",353,967
234,Retail,Dhahran,"$4,515.00 ",1199,"$9,345.00 ","$2,644.00 ",3378,2213
235,,,"$21,632.00 ",132,"$2,886.00 ",$266.00 ,918,405
236,Retail,Makkah,"$1,479.00 ",1498,"$11,924.00 ",$662.00 ,3891,3508
237,Hotels,Madinah,"$2,617.00 ",119,"$5,332.00 ","$9,584.00 ",573,1942
238,Retail,Dammam,"$8,797.00 ",1065,"$14,886.00 ","$2,471.00 ",8969,1438
239,Retail,Dammam,"$11,867.00 ",333,"$4,814.00 ","$1,178.00 ",3837,120
240,Hotels,Dammam,"$1,289.00 ",333,"$2,022.00 ",$531.00 ,255,1774
241,Hotels,Hail,"$1,838.00 ",638,"$2,824.00 ","$1,218.00 ",1216,295
242,Retail,Dammam,"$22,647.00 ",978,"$13,792.00 ","$2,915.00 ",4482,5778
243,Hotels,Khobar,$255.00 ,576,"$5,923.00 ",$349.00 ,4595,1328
244,Hotels,Khobar,$190.00 ,73,"$2,012.00 ",$245.00 ,184,127
245,Retail,Dammam,"$1,020.00 ",882,"$12,121.00 ",$134.00 ,4508,1080
246,,,$894.00 ,170,"$1,841.00 ",$744.00 ,759,1153
247,Export,Dhahran,"$6,338.00 ",226,"$1,668.00 ","$1,492.00 ",311,686
248,Retail,Riyadh,"$2,790.00 ",253,"$5,265.00 ","$5,612.00 ",788,1360
249,Retail,Khobar,$23.00 ,262,"$8,118.00 ",$145.00 ,3874,217
250,Retail,Riyadh,"$2,362.00 ",655,"$11,364.00 ",$913.00 ,5957,791
251,Hotels,Dhahran,"$9,898.00 ",96,"$2,861.00 ","$3,151.00 ",242,833
252,Hotels,Khobar,"$6,211.00 ",34,$683.00 ,"$1,089.00 ",41,296
253,Hotels,Dhahran,"$29,703.00 ",1205,"$16,027.00 ","$13,135.00 ",182,2204
254,Hotels,Dhahran,"$28,257.00 ",94,"$2,146.00 ","$3,881.00 ",600,270
255,Hotels,Makkah,"$21,273.00 ",201,"$6,550.00 ",$909.00 ,811,1854
256,Retail,Madinah,"$8,565.00 ",498,"$67,298.00 ",$131.00 ,38102,1215
257,Hotels,Dammam,"$4,020.00 ",323,"$1,498.00 ","$2,395.00 ",264,255
258,Hotels,Dhahran,"$9,612.00 ",58,$935.00 ,"$1,601.00 ",469,375
259,Retail,Khobar,"$22,615.00 ",541,"$7,198.00 ","$3,915.00 ",1777,5185
260,Hotels,Dhahran,"$17,023.00 ",514,"$5,230.00 ","$7,888.00 ",330,1755
261,Retail,Khobar,"$9,396.00 ",1160,"$15,775.00 ","$2,896.00 ",7677,1295
262,Hotels,Khobar,"$5,876.00 ",616,"$2,933.00 ",$839.00 ,370,4478
263,Hotels,Hail,"$15,603.00 ",270,"$3,833.00 ","$4,260.00 ",325,2563
264,Hotels,Dhahran,"$8,607.00 ",175,"$3,580.00 ",$47.00 ,84,2501
265,Hotels,Khobar,"$4,446.00 ",91,"$1,238.00 ","$3,576.00 ",153,1014
266,Retail,Makkah,"$3,996.00 ",1110,"$12,469.00 ",$902.00 ,5952,741
267,Retail,Riyadh,"$1,073.00 ",968,"$15,445.00 ",$61.00 ,5980,1265
268,Retail,Khobar,$85.00 ,2096,"$45,828.00 ",$36.00 ,24231,1423
269,Hotels,Dhahran,"$13,265.00 ",120,"$4,221.00 ","$6,404.00 ",507,1788
270,Hotels,Dammam,"$3,097.00 ",423,"$16,483.00 ",$575.00 ,241,2080
271,Hotels,Dammam,$503.00 ,11,$778.00 ,$895.00 ,56,132
272,Hotels,Khobar,"$3,477.00 ",89,$534.00 ,"$1,457.00 ",252,342
273,Hotels,Hail,$583.00 ,69,"$2,216.00 ",$469.00 ,954,18
274,Retail,Dammam,$355.00 ,770,"$14,682.00 ",$398.00 ,8077,303
275,Hotels,Dhahran,"$18,073.00 ",461,"$3,444.00 ","$4,324.00 ",914,715
276,Retail,Dhahran,$491.00 ,1047,"$11,532.00 ",$744.00 ,5611,224
277,Hotels,Riyadh,"$18,044.00 ",148,"$2,046.00 ","$2,532.00 ",130,1158
278,Hotels,Dammam,"$42,312.00 ",93,"$1,510.00 ","$1,718.00 ",410,1819
279,,,"$11,693.00 ",232,"$2,543.00 ","$5,845.00 ",274,1409
280,Retail,Makkah,"$16,448.00 ",624,"$6,360.00 ",$824.00 ,2662,2005
281,Retail,Dhahran,"$8,590.00 ",305,"$7,854.00 ",$96.00 ,4095,225
282,,,"$27,901.00 ",375,"$6,964.00 ","$4,479.00 ",603,2503
283,,,"$2,612.00 ",434,"$3,133.00 ","$2,088.00 ",820,985
284,Hotels,Dammam,"$2,615.00 ",87,"$1,524.00 ","$1,103.00 ",514,468
285,Hotels,Dammam,"$6,633.00 ",210,"$4,563.00 ","$1,389.00 ",1860,1892
286,Hotels,Khobar,"$16,705.00 ",204,"$3,202.00 ","$10,643.00 ",116,1365
287,Hotels,Dhahran,"$43,265.00 ",503,"$8,117.00 ","$6,312.00 ",1579,14351
288,Retail,Dhahran,"$1,454.00 ",634,"$10,704.00 ",$133.00 ,6830,1831
289,Hotels,Makkah,"$10,617.00 ",180,"$7,647.00 ","$1,483.00 ",857,1233
290,Hotels,Dammam,"$1,821.00 ",136,"$3,450.00 ","$4,006.00 ",397,361
291,Hotels,Dammam,$3.00 ,292,"$6,252.00 ",$440.00 ,223,709
292,Hotels,Khobar,"$2,126.00 ",329,"$3,281.00 ","$1,535.00 ",235,4365
293,Retail,Dammam,"$2,343.00 ",785,"$11,874.00 ",$52.00 ,4196,1697
294,Hotels,Dhahran,"$4,760.00 ",123,"$3,250.00 ","$3,724.00 ",1247,1145
295,Hotels,Dammam,"$3,347.00 ",405,"$6,996.00 ",$239.00 ,1538,301
296,Hotels,Khobar,"$3,884.00 ",380,"$1,641.00 ",$876.00 ,397,4829
297,Hotels,Tabuk,"$19,087.00 ",130,"$3,643.00 ","$3,045.00 ",710,898
298,Hotels,Dammam,"$7,769.00 ",194,"$2,177.00 ",$926.00 ,73,520
299,Hotels,Khobar,"$11,405.00 ",60,"$1,638.00 ","$3,347.00 ",69,360
300,,,"$18,815.00 ",361,"$11,107.00 ","$1,148.00 ",2134,2963
301,Hotels,Dhahran,"$5,841.00 ",145,"$1,162.00 ",$597.00 ,476,70
302,Retail,Dhahran,"$10,362.00 ",923,"$11,009.00 ",$737.00 ,3537,2342
303,Hotels,Dammam,"$31,012.00 ",1669,"$5,429.00 ","$15,082.00 ",439,1163
304,Retail,Dammam,"$17,565.00 ",369,"$4,657.00 ","$1,059.00 ",1803,668
305,Hotels,Dhahran,"$19,219.00 ",184,"$1,658.00 ","$8,195.00 ",349,483
306,Hotels,Qaseem,"$8,475.00 ",193,"$1,883.00 ","$5,004.00 ",3593,987
307,Retail,Makkah,"$9,759.00 ",2507,"$17,645.00 ","$1,128.00 ",12408,1625
308,Retail,Dhahran,$688.00 ,549,"$11,091.00 ",$833.00 ,4239,436
309,Hotels,Dhahran,"$2,446.00 ",726,"$3,993.00 ","$5,870.00 ",788,3095
310,Retail,Tabuk,"$27,082.00 ",682,"$10,790.00 ","$1,365.00 ",4111,2139
311,Hotels,Dhahran,"$5,414.00 ",72,"$2,155.00 ","$2,399.00 ",69,750
312,Hotels,Dhahran,"$25,606.00 ",1101,"$4,604.00 ",$127.00 ,632,288
313,Retail,Dhahran,$37.00 ,128,"$22,272.00 ",$137.00 ,6747,110
314,Retail,Khobar,$117.00 ,626,"$21,203.00 ",$228.00 ,8682,1111
315,Hotels,Dhahran,"$6,300.00 ",129,"$2,591.00 ","$1,170.00 ",199,326
316,Hotels,Khobar,"$14,438.00 ",230,"$1,733.00 ","$3,220.00 ",585,1561
317,Hotels,Dhahran,"$4,625.00 ",858,"$7,030.00 ","$4,575.00 ",2447,1542
318,Hotels,Hail,"$7,363.00 ",48,$585.00 ,"$1,112.00 ",72,216
319,Retail,Dhahran,"$5,626.00 ",1222,"$11,323.00 ",$206.00 ,5038,244
320,Hotels,Dhahran,"$49,063.00 ",397,"$4,252.00 ","$5,970.00 ",1041,1404
321,Hotels,Dammam,"$56,159.00 ",56,$902.00 ,"$10,002.00 ",212,2916
322,Hotels,Khobar,"$37,036.00 ",715,"$8,253.00 ","$2,995.00 ",20,3
323,Hotels,Madinah,"$4,414.00 ",161,"$1,431.00 ","$3,498.00 ",387,834
324,Hotels,Dammam,"$7,780.00 ",250,"$9,464.00 ",$669.00 ,2518,501
325,Hotels,Khobar,"$9,602.00 ",132,"$1,263.00 ","$2,921.00 ",841,290
326,Hotels,Riyadh,"$4,155.00 ",37,"$1,390.00 ","$2,306.00 ",86,130
327,Hotels,Khobar,"$14,276.00 ",80,"$3,045.00 ",$485.00 ,100,518
328,Hotels,Khobar,"$8,533.00 ",551,"$5,160.00 ","$13,486.00 ",1377,1498
329,Hotels,Hail,"$25,203.00 ",1149,"$9,490.00 ","$5,065.00 ",284,6854
330,Hotels,Dhahran,"$21,117.00 ",116,"$4,754.00 ",$269.00 ,1328,395
331,Retail,Khobar,"$2,932.00 ",646,"$7,677.00 ","$2,561.00 ",4573,1386
332,Hotels,Dhahran,"$20,105.00 ",189,"$1,939.00 ","$8,164.00 ",716,790
333,Retail,Dammam,"$2,771.00 ",694,"$15,541.00 ","$2,693.00 ",6600,1115
334,Retail,Khobar,"$17,546.00 ",452,"$4,602.00 ","$1,066.00 ",2259,2124
335,Retail,Makkah,"$16,823.00 ",93,"$2,743.00 ","$11,559.00 ",332,3486
336,Retail,Dammam,"$1,406.00 ",1673,"$28,986.00 ",$673.00 ,836,3
337,Export,Dammam,"$25,606.00 ",94,$848.00 ,6728,993,405
338,Hotels,Khobar,"$10,683.00 ",2186,"$15,400.00 ","$3,635.00 ",282,5120
339,Hotels,Dhahran,"$6,022.00 ",335,"$3,261.00 ","$2,507.00 ",212,686
340,Retail,Dammam,"$5,224.00 ",760,"$8,584.00 ","$2,540.00 ",3674,238
341,Hotels,Dammam,"$2,838.00 ",309,"$4,329.00 ","$3,838.00 ",825,1060
342,Hotels,Dammam,"$5,567.00 ",87,"$2,010.00 ","$3,383.00 ",375,569
343,Hotels,Khobar,$622.00 ,6,$137.00 ,$75.00 ,7,8
344,Retail,Dammam,"$8,257.00 ",388,"$6,407.00 ","$1,646.00 ",,344
345,Hotels,Qaseem,$964.00 ,498,"$3,316.00 ",$937.00 ,409,7
346,,,$694.00 ,853,"$10,518.00 ",$443.00 ,6907,156
347,Retail,Khobar,$660.00 ,849,"$18,622.00 ",$133.00 ,6740,776
348,Hotels,Riyadh,"$2,344.00 ",1068,"$3,828.00 ","$1,439.00 ",1566,490
349,Retail,Madinah,"$6,468.00 ",1287,"$21,570.00 ","$1,840.00 ",7558,1543
350,Retail,Dhahran,"$40,721.00 ",392,"$5,876.00 ",$532.00 ,2587,1278
351,Hotels,Riyadh,"$56,083.00 ",456,"$2,124.00 ","$6,422.00 ",730,3321
352,,,"$20,918.00 ",192,"$1,573.00 ","$1,960.00 ",231,961
353,Hotels,Hail,"$8,635.00 ",82,"$3,047.00 ","$2,312.00 ",415,225
354,Retail,Qaseem,$572.00 ,976,"$22,182.00 ","$2,221.00 ",4882,2563
355,Retail,Dhahran,$630.00 ,1110,"$23,998.00 ",$787.00 ,9529,72
356,Retail,Dhahran,"$6,353.00 ",881,"$7,684.00 ","$2,405.00 ",3516,7844
357,Hotels,Khobar,"$36,050.00 ",164,"$2,961.00 ","$4,787.00 ",500,1621
358,Hotels,Khobar,"$12,212.00 ",20,$245.00 ,"$1,991.00 ",25,860
359,Hotels,Khobar,"$8,258.00 ",234,"$2,147.00 ","$3,896.00 ",266,635
360,Retail,Dammam,"$3,103.00 ",1407,"$21,955.00 ","$1,668.00 ",6792,1452
361,Hotels,Dhahran,"$26,539.00 ",475,"$5,091.00 ",$220.00 ,10,340
362,Hotels,Khobar,"$11,243.00 ",241,"$2,593.00 ","$15,348.00 ",108,1886
363,Hotels,Dammam,"$10,253.00 ",111,"$3,821.00 ",$397.00 ,964,412
364,Hotels,Qaseem,"$6,373.00 ",78,$950.00 ,$878.00 ,288,285
365,Hotels,Tabuk,"$9,784.00 ",93,"$2,405.00 ","$4,447.00 ",183,297
366,Hotels,Khobar,"$2,121.00 ",160,"$2,453.00 ",$560.00 ,179,712
367,Hotels,Dhahran,"$6,884.00 ",105,"$1,167.00 ","$2,069.00 ",593,378
368,Hotels,Khobar,"$5,924.00 ",58,$542.00 ,"$4,052.00 ",283,434
369,Hotels,Dammam,"$3,521.00 ",110,"$1,997.00 ","$1,796.00 ",173,995
370,Retail,Riyadh,"$12,119.00 ",2833,"$39,694.00 ","$4,736.00 ",19410,2870
371,Retail,Dammam,"$5,531.00 ",1573,"$26,870.00 ","$2,367.00 ",13726,446
372,Retail,Dhahran,"$12,669.00 ",966,"$7,561.00 ",$214.00 ,2674,1338
373,Hotels,Hail,"$53,205.00 ",496,"$7,336.00 ","$3,012.00 ",967,818
374,Hotels,Riyadh,"$18,692.00 ",384,$593.00 ,"$4,634.00 ",28,1215
375,Hotels,Qaseem,"$9,670.00 ",228,"$2,112.00 ",$520.00 ,402,347
376,Hotels,Qaseem,"$47,493.00 ",257,"$3,779.00 ","$5,243.00 ",828,2253
377,Hotels,Dammam,"$18,840.00 ",137,"$3,135.00 ","$3,001.00 ",352,184
378,Retail,Tabuk,"$2,886.00 ",530,"$9,785.00 ",$364.00 ,6236,555
379,,,"$2,438.00 ",800,"$9,819.00 ","$6,269.00 ",3459,3
380,Retail,Khobar,"$27,380.00 ",718,"$12,311.00 ","$2,809.00 ",4621,1022
381,Hotels,Khobar,"$25,767.00 ",361,"$2,013.00 ","$10,303.00 ",314,1384
382,Hotels,Dammam,"$76,237.00 ",347,"$7,102.00 ","$16,538.00 ",778,918
383,Retail,Dhahran,"$19,913.00 ",676,"$13,462.00 ","$1,256.00 ",5141,834
384,Hotels,Dhahran,"$11,134.00 ",79,"$2,988.00 ","$2,715.00 ",276,610
385,Hotels,Dhahran,$286.00 ,121,"$5,241.00 ","$2,515.00 ",153,1442
386,Hotels,Hail,"$15,671.00 ",528,"$2,406.00 ",$559.00 ,562,572
387,Retail,Dammam,"$4,048.00 ",516,"$10,391.00 ",$130.00 ,813,179
388,Retail,Khobar,"$4,591.00 ",1573,"$16,709.00 ",$33.00 ,6956,433
389,Hotels,Khobar,"$6,137.00 ",536,"$8,040.00 ",$129.00 ,3084,1603
390,Retail,Riyadh,"$2,427.00 ",710,"$10,391.00 ","$1,127.00 ",4314,1468
391,Retail,Dhahran,"$15,168.00 ",1056,"$12,477.00 ","$1,920.00 ",6506,714
392,Hotels,Dhahran,"$7,864.00 ",54,"$4,042.00 ","$9,735.00 ",165,46
393,Retail,Tabuk,"$11,223.00 ",1488,"$26,839.00 ","$1,234.00 ",9606,1102
394,Hotels,Dammam,"$31,812.00 ",143,"$1,651.00 ",$800.00 ,113,1440
395,Hotels,Dammam,$97.00 ,361,"$12,400.00 ",$98.00 ,,62
396,Hotels,Tabuk,"$6,987.00 ",102,"$3,007.00 ",$416.00 ,257,656
397,Hotels,Khobar,$608.00 ,111,"$1,533.00 ",$830.00 ,90,195
398,Hotels,Tabuk,"$9,790.00 ",179,"$5,109.00 ","$3,570.00 ",182,1043
399,Hotels,Dhahran,"$14,039.00 ",739,"$2,548.00 ","$6,386.00 ",1333,2341
400,Retail,Khobar,"$7,842.00 ",605,"$8,552.00 ","$1,691.00 ",3540,1874
401,Retail,Khobar,"$17,063.00 ",485,"$9,053.00 ","$1,031.00 ",3415,1784
402,Hotels,Madinah,"$32,717.00 ",1678,"$13,626.00 ","$60,869.00 ",1272,5609
403,Hotels,Khobar,"$15,587.00 ",101,"$3,970.00 ",$910.00 ,139,1378
404,Hotels,Madinah,"$9,155.00 ",190,"$5,167.00 ","$2,714.00 ",228,1113
405,Retail,Khobar,"$1,689.00 ",696,"$26,316.00 ","$1,456.00 ",15469,37
406,,,"$29,729.00 ",479,"$7,326.00 ","$6,130.00 ",361,1083
407,Retail,Khobar,"$1,420.00 ",1081,"$16,267.00 ","$1,593.00 ",6766,1838
408,Hotels,Dhahran,"$26,400.00 ",138,"$4,172.00 ",$830.00 ,948,1218
409,Hotels,Hail,"$29,526.00 ",796,"$16,966.00 ",$432.00 ,363,1391
410,Retail,Dammam,"$4,967.00 ",2141,"$28,921.00 ","$1,798.00 ",13583,1163
411,Retail,Dhahran,"$22,039.00 ",838,"$34,792.00 ",$42.00 ,12591,4430
412,Retail,Dhahran,$200.00 ,2586,"$19,816.00 ",$651.00 ,8773,6250
413,Hotels,Khobar,"$10,290.00 ",198,"$2,232.00 ","$1,038.00 ",168,2125
414,Hotels,Qaseem,"$8,040.00 ",380,"$2,070.00 ","$6,340.00 ",918,291
415,Hotels,Khobar,"$40,254.00 ",64,"$3,600.00 ","$1,042.00 ",436,18
416,Hotels,Khobar,"$16,731.00 ",392,"$7,994.00 ",$688.00 ,2371,838
417,Hotels,Khobar,"$34,454.00 ",744,"$8,469.00 ","$2,540.00 ",1711,2893
418,Retail,Dhahran,$514.00 ,768,"$19,805.00 ",$937.00 ,9836,716
419,Retail,Makkah,"$2,137.00 ",374,"$19,172.00 ","$1,274.00 ",17120,142
420,Retail,Madinah,$161.00 ,746,"$24,773.00 ",$617.00 ,11783,2410
421,Hotels,Hail,"$6,202.00 ",778,"$10,817.00 ","$1,183.00 ",3143,1970
422,Retail,Qaseem,"$6,134.00 ",2313,"$33,586.00 ","$6,746.00 ",18594,5121
423,Hotels,Dammam,"$12,754.00 ",276,"$2,530.00 ","$8,693.00 ",627,1117
424,Export,Dhahran,"$8,708.00 ",362,$830.00 ,948,1218,342
425,Hotels,Makkah,"$5,113.00 ",149,"$4,583.00 ","$5,127.00 ",492,739
426,Hotels,Dhahran,"$8,352.00 ",282,"$1,293.00 ",$779.00 ,656,144
427,Retail,Dhahran,"$4,389.00 ",1094,"$10,908.00 ",$848.00 ,6728,993
428,Hotels,Dammam,"$5,809.00 ",74,$803.00 ,"$1,393.00 ",79,429
429,Retail,Hail,"$4,484.00 ",1440,"$24,708.00 ","$3,549.00 ",14235,1681
430,Hotels,Dammam,"$5,264.00 ",368,"$5,005.00 ","$1,057.00 ",2024,1130
431,,,"$11,635.00 ",92,"$1,614.00 ","$2,583.00 ",192,1068
432,Hotels,Dammam,"$19,046.00 ",277,"$2,469.00 ","$8,853.00 ",483,2708
433,Hotels,Khobar,"$15,177.00 ",202,"$3,810.00 ","$2,665.00 ",232,610
434,Hotels,Qaseem,"$23,257.00 ",137,"$1,677.00 ",$982.00 ,429,655
435,Hotels,Khobar,"$16,936.00 ",625,"$1,981.00 ","$7,332.00 ",118,64
436,Hotels,Khobar,"$4,734.00 ",61,$864.00 ,"$1,206.00 ",159,405
437,Retail,Khobar,"$12,238.00 ",711,"$6,235.00 ","$1,093.00 ",2328,2079
438,Hotels,Dhahran,"$3,225.00 ",329,"$1,902.00 ",$282.00 ,68,1114
439,Retail,Khobar,"$9,670.00 ",703,"$10,471.00 ",$541.00 ,4618,65
440,Retail,Khobar,"$18,601.00 ",633,"$10,099.00 ","$2,205.00 ",,3181
441,,,"$3,352.00 ",118,"$1,328.00 ","$5,502.00 ",311,1000
442,Retail,Dammam,"$1,725.00 ",365,"$12,822.00 ",$824.00 ,4424,2157
443,Retail,Khobar,"$39,679.00 ",394,"$4,955.00 ","$1,364.00 ",523,2235
444,,,"$12,356.00 ",604,"$8,887.00 ",$402.00 ,1382,2794
445,Hotels,Riyadh,"$7,858.00 ",111,"$1,094.00 ","$6,818.00 ",49,287
446,Hotels,Dammam,$717.00 ,359,"$6,532.00 ","$7,530.00 ",529,894
447,Hotels,Dhahran,"$22,335.00 ",120,"$2,406.00 ","$2,046.00 ",101,558
448,,,"$45,640.00 ",696,"$6,536.00 ","$7,368.00 ",1532,230
449,,,"$23,632.00 ",673,"$3,842.00 ","$8,620.00 ",385,819
450,Retail,Madinah,$918.00 ,2066,"$13,567.00 ","$1,465.00 ",6846,806
